name,COUNT,AREA,MIN (Band 1),MAX (Band 1),MEAN (Band 1),STDDEV (Band 1),MIN (Band 2),MAX (Band 2),MEAN (Band 2),STDDEV (Band 2),MIN (Band 3),MAX (Band 3),MEAN (Band 3),STDDEV (Band 3),MIN (Band 4),MAX (Band 4),MEAN (Band 4),STDDEV (Band 4),MIN (Band 5),MAX (Band 5),MEAN (Band 5),STDDEV (Band 5)
"K609",584,0.07980716240000001,0.05076212808489799,0.5468990802764893,0.1388154480644591,0.06845926655953903,0.05700469017028809,0.6763882040977478,0.1628751390779467,0.08236182300809117,0.1287898272275925,1.360724329948425,0.3438704859414329,0.1620183138613486,0.3595133721828461,2.268557310104370,1.272140549419269,0.5295980339175429,0.9793756604194641,6.951119422912598,3.928166621964273,1.789344988897979
"K612",12760,1.743731836000000,0.01244456041604280,0.4781377613544464,0.07351567087027897,0.05056654521016242,0.01546627655625343,0.3161863088607788,0.08712471253873615,0.04673441464326301,0.03771473094820976,0.7281123399734497,0.2216640155701124,0.1184087986302064,0.07163938134908676,1.271583914756775,0.4263081530967383,0.2447831193414004,0.6541075110435486,7.646895885467529,3.086274768687715,1.678242726725827
"K618",23986,3.277833214600000,0.03328375518321991,0.6553596258163452,0.2383699043923602,0.1252722939351980,0.05262828618288040,0.8554751873016357,0.3170933723148403,0.1453953336494242,0.07259489595890045,2.022341728210449,0.5282607151713055,0.2924994776648036,0.2538416087627411,3.122992515563965,1.173156308103251,0.6101618243513024,0.7176481485366821,7.514072895050049,2.760240274297973,1.525719207230763
"K619",26537,3.626442925700000,0.02926501631736755,1.025948643684387,0.2576440284758983,0.1551181904270640,0.05545838922262192,1.310121059417725,0.3929441433159724,0.2038943353188944,0.07168132811784744,1.837551712989807,0.5901508844323956,0.3254724413483287,0.2326916456222534,3.891035795211792,1.184408135321046,0.6475612298521793,0.6700955629348755,8.182502746582031,2.627065597823675,1.512258032120077
"K620",23140,3.162222154000000,0.04084794595837593,0.6214435100555420,0.2313099158195297,0.1298645496899079,0.06888627260923386,1.040644049644470,0.3867695466228079,0.1851282297908901,0.08451835066080093,1.629153966903687,0.5058078903766059,0.2824066393008113,0.2559077739715576,3.337993621826172,1.189879032890912,0.6732761502177894,0.7584955096244812,8.041998863220215,2.811638075667099,1.640735479682120
"K627",18331,2.505042969100000,0.04550646990537643,0.9869661331176758,0.2730167510553827,0.1531646439415318,-7880.645019531250,1.565663814544678,-3.310730337847472,137.5181273993899,-9590.982421875000,2.219877481460571,-14.24359127778752,297.9841297400194,0.2661552727222443,4.404698848724365,1.575059161556703,0.8675307196981249,0.7201405763626099,8.363080024719238,3.386428190525607,1.680512939363166
"K631",7966,1.088602492600000,0.01934155821800232,0.3229535222053528,0.1122387960298768,0.07045602016585821,0.02105543389916420,0.3589827418327332,0.1211960841825607,0.07191067349297359,0.05074428394436836,0.7256143689155579,0.2748523144649557,0.1607093729966475,0.08086609840393066,1.259983301162720,0.4010416115127914,0.1829802004261901,0.6387373208999634,6.926904201507568,2.721935606791452,1.559229139391971
"K634",10966,1.498570792600000,0.04831881821155548,0.6067765355110168,0.2143219767218874,0.1031767210305421,0.06685402244329453,1.019702434539795,0.3527189410038017,0.1985893362300061,0.1000582054257393,1.321294307708740,0.4648810986320064,0.2525893897606506,0.2580769956111908,4.255220890045166,1.610932956559585,0.9749507628868685,0.7763430476188660,8.264191627502441,3.533050291532368,1.876053360242731
"K636",3236,0.4422191396000000,0.01693589426577091,0.2490893453359604,0.07192533663433728,0.04048870535084075,0.01898569241166115,0.2595268487930298,0.07914624697205293,0.04359017131453877,0.05812305212020874,0.6485781073570251,0.2202384910432275,0.1067078922193131,0.08653996884822845,0.9221912026405334,0.3587736999305203,0.1779900474393871,0.6088882088661194,6.465057849884033,2.500709976047757,1.344014406474204
"K637",20925,2.859528892500000,0.03100278228521347,0.6905832290649414,0.1496184590649363,0.08622719585038285,0.03264926001429558,0.5681552886962891,0.1924477736577123,0.09559900105125967,0.06575240939855576,1.780964851379395,0.3303726464150341,0.1876834549936155,0.2695304155349731,3.301135063171387,1.350021290306264,0.6459921705370053,0.8681665062904358,9.127527236938477,4.078312456055213,1.879212398810795
"K638",19901,2.719593046100000,0.03591833263635635,0.9245604276657104,0.2433069657780891,0.1272347674793866,0.05115950107574463,0.9043799638748169,0.2869003993736039,0.1560213346334192,0.08728063106536865,2.529106855392456,0.5738609610863427,0.3397851461747093,0.2247447222471237,4.424097061157227,1.457062697878263,0.8600464360242436,0.7128951549530029,8.528862953186035,3.247053307810893,1.747910474503273
"K661",11107,1.517839302700000,0.01674259640276432,0.3356864452362061,0.08139764286555569,0.05397466524926603,0.01746886596083641,0.2599477171897888,0.07542962829366982,0.04785106103633290,0.05878965929150581,0.8223478794097900,0.2271976958716460,0.1173452674636726,0.1041829213500023,1.484769701957703,0.5114877358571324,0.2509930452885017,0.6909951567649841,7.893230915069580,3.235060994648919,1.748006919491556
"K662",9831,1.343466119100000,0.01219208259135485,0.2830413579940796,0.04913085440023877,0.03378746691322940,0.01244739722460508,0.2486209571361542,0.05531566349201966,0.03549187467986864,0.04150899499654770,0.7401383519172668,0.1975873463221865,0.1042695557934861,0.07790573686361313,0.8916341066360474,0.3766101360549921,0.1603428974759528,0.7426856160163879,7.066344261169434,3.205571201237837,1.427788711794962
"K664",6092,0.8325089612000001,0.03876430168747902,0.5319714546203613,0.1564372366151172,0.09043026872820176,0.03807228803634644,0.4840511381626129,0.1498688194687947,0.07806158950293078,0.08466520160436630,1.175657987594604,0.3648602299719990,0.1836397217807609,0.2569676041603088,3.601733446121216,1.414861240138643,0.7914234010364940,0.7598013877868652,8.167408943176270,3.476383802897432,1.831483634627926
"K668",14470,1.977413767000000,0.05124424770474434,0.8925308585166931,0.2602943742597565,0.1073720434878302,0.07192587107419968,1.432723999023438,0.4609820363125310,0.2136367864546348,0.1003518477082253,2.002689123153687,0.6105692986885515,0.3013564065711092,0.2573309540748596,4.389582157135010,1.562539933283080,0.7884559216756106,0.7357922196388245,8.716866493225098,3.656580701711347,1.782971798464807
"K674",17376,2.374536393600000,0.05042810738086700,0.8949325084686279,0.2860352328440783,0.1409256014257543,0.06648554652929306,1.532125711441040,0.4380011011775187,0.2347218046378367,0.09904800355434418,2.519738674163818,0.7684919339596955,0.4151915176104712,0.3121676146984100,4.534039974212646,1.575223401852611,0.9330015095197812,0.8590157628059387,8.641511917114258,3.215439243828723,1.744156672534494
