name,COUNT,AREA,MIN (Band 1),MAX (Band 1),MEAN (Band 1),STDDEV (Band 1),MIN (Band 2),MAX (Band 2),MEAN (Band 2),STDDEV (Band 2),MIN (Band 3),MAX (Band 3),MEAN (Band 3),STDDEV (Band 3)
"GWAS-W35",13529,1.848820376900000,3.000000000000000,237.0000000000000,106.5242072584818,51.37570499207861,4.000000000000000,221.0000000000000,105.7758149161062,51.34150040086698,2.000000000000000,236.0000000000000,102.0414664794146,52.49202562378586
"GWAS-W42",17848,2.439038072800000,1.000000000000000,231.0000000000000,85.50717167189602,42.47268284609677,3.000000000000000,228.0000000000000,98.90314268108227,43.27371261595637,1.000000000000000,197.0000000000000,76.81136414628675,41.07700972534108
"GWAS-W43",10235,1.398675183500000,1.000000000000000,224.0000000000000,94.30337078651688,44.58570611671981,6.000000000000000,241.0000000000000,106.3603321934537,44.67022794539147,1.000000000000000,221.0000000000000,89.42040457343890,47.02012176727211
"GWAS-W44",1363,0.1862622643000000,27.00000000000000,253.0000000000000,153.1944240645634,46.53884958843889,17.00000000000000,235.0000000000000,139.5744680851063,47.46232133768476,16.00000000000000,233.0000000000000,128.1151870873074,46.24547376849871
"GWAS-W7",27417,3.746700293700000,4.000000000000000,254.0000000000000,115.2481671955356,50.68023689727461,3.000000000000000,253.0000000000000,106.9197213407740,49.41596247214166,1.000000000000000,231.0000000000000,89.94944557922385,49.41733598822012
"H20K0130",13297,1.817116161700000,1.000000000000000,202.0000000000000,84.99706700759567,44.15580226955897,10.00000000000000,228.0000000000000,103.9284102872613,46.31447340153096,1.000000000000000,190.0000000000000,73.99932320649717,40.64475937817870
"H20K1173",9594,1.311078623400000,7.000000000000000,251.0000000000000,100.0292891390453,47.65626336701307,18.00000000000000,244.0000000000000,115.8502188868043,46.56426269422154,2.000000000000000,222.0000000000000,91.63904523660619,46.43576317340266
"H20K1176",12242,1.672943976200000,4.000000000000000,246.0000000000000,109.2412187551054,57.44353502172821,14.00000000000000,254.0000000000000,126.4823558242118,59.54858828886680,3.000000000000000,226.0000000000000,101.8017480803790,50.43250877714031
"H20K1180",20876,2.852832743600000,1.000000000000000,234.0000000000000,79.72758191224368,51.45740207146283,1.000000000000000,227.0000000000000,71.68155246765697,51.00012242447390,1.000000000000000,228.0000000000000,74.65111377245516,51.18097211615900
"H20K2807",8295,1.133562349500000,1.000000000000000,243.0000000000000,108.4513562386980,58.29757870557333,8.000000000000000,250.0000000000000,124.7338155515371,60.04647973099752,1.000000000000000,198.0000000000000,88.87124773960217,45.38003193430522
"H20K2905",7740,1.057718214000000,2.000000000000000,244.0000000000000,83.06408268733850,43.59859042252692,1.000000000000000,239.0000000000000,71.22529388967834,43.16958489949704,1.000000000000000,222.0000000000000,69.39852732205144,40.25583486558188
"Impulsion",5034,0.6879268074000000,4.000000000000000,235.0000000000000,117.7947953913389,52.73541736549307,11.00000000000000,249.0000000000000,127.7294398092968,53.41890559408637,2.000000000000000,196.0000000000000,85.60143055831512,43.90323600258194
"K009",25660,3.506595526000000,1.000000000000000,255.0000000000000,109.8571706936866,56.87058019227716,2.000000000000000,253.0000000000000,110.5112626656274,57.27869901330404,1.000000000000000,227.0000000000000,103.9073229666003,56.21927855217101
"K011",14272,1.950355859200000,6.000000000000000,246.0000000000000,128.1781109865472,53.43134382259932,7.000000000000000,246.0000000000000,128.4047085201795,51.08513217857733,2.000000000000000,216.0000000000000,112.9722533632287,51.12414047135007
